B,B,B,B,B,B,W,R,R,R,R,R,R,R,R,R,R,W,O,O,O,O,O,O,O
B,B,B,B,B,B,W,R,R,R,R,R,R,R,R,R,R,W,O,O,O,O,O,O,O
B,B,B,B,B,B,W,R,R,R,R,R,R,R,R,R,R,W,W,O,O,O,O,O,O
B,B,B,B,B,B,W,R,R,R,RD,RD,W,R,R,R,R,W,W,O,OD,OD,O,O,O
W,B,B,B,B,BR,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,X,X,X,X,X,X,X,X,X,W,D,D,D,D,D,D,D
K,K,K,K,K,W,W,W,X,X,X,X,X,X,X,X,X,W,D,D,D,D,D,D,D
K,K,K,K,K,W,W,W,X,X,X,X,X,X,X,X,X,W,D,D,D,D,D,D,D
K,K,K,K,K,W,W,W,X,X,X,X,X,X,X,X,X,W,D,D,D,D,D,D,D
K,K,K,K,K,W,W,W,X,X,X,X,X,X,X,X,X,W,D,D,D,D,D,D,D
W,K,K,K,K,W,W,W,X,X,X,X,X,X,X,X,X,W,D,D,D,DD,DD,D,D
W,K,K,K,K,W,W,W,X,X,X,X,X,X,X,X,X,W,D,D,D,W,W,D,D
W,KD,KD,K,K,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
S,W,W,W,W,W,W,L,L,L,L,W,W,W,W,W,W,W,W,W,W,W,W,W,W
S,S,S,S,S,W,W,L,L,L,L,W,C,C,CU,CU,C,W,H,H,H,H,H,H,H
S,S,S,S,S,W,W,L,L,L,L,W,W,C,C,C,C,W,H,H,H,H,H,H,H
S,S,S,S,S,SR,W,L,L,L,L,W,W,C,C,C,C,W,H,H,H,H,H,H,H
S,S,S,S,S,SR,W,L,L,L,L,W,W,C,C,C,C,W,H,H,H,H,H,H,H
S,S,S,S,S,S,W,LL,L,L,L,W,W,C,C,C,C,W,HL,H,H,H,H,H,H
S,S,S,S,S,S,W,LL,L,L,L,W,W,C,C,C,C,W,HL,H,H,H,H,H,H
S,S,S,S,S,W,W,L,L,L,L,W,W,C,C,C,C,W,H,H,H,H,H,H,H
S,S,S,S,S,W,W,L,L,L,L,W,W,C,C,C,C,W,H,H,H,H,H,H,H
S,S,S,S,S,W,W,L,L,L,L,W,W,C,C,C,C,W,H,H,H,H,H,H,H
